(title "Axial Velocity")
(labels "Position" "Axial Velocity")

((xy/key/label "line-10-m")
0.568926	0.101717
0.576877	0.0988608
0.585048	0.0960008
0.602012	0.090162
0.619352	0.0843289
0.636802	0.0786032
0.653557	0.0732526
0.655325	0.072691
0.676238	0.0662251
0.697823	0.059797
0.719999	0.0534575
0.742714	0.0472382
0.766041	0.0411475
0.789884	0.0352354
0.81444	0.0294811
0.839597	0.0239458
0.864671	0.0187927
0.891076	0.0137817
0.918013	0.00918216
0.945653	0.0052144
0.959947	0.00375418
0.972539	0.00246163
0.998636	0.000958854
1.02542	0.000278317
1.05258	5.2973e-05
1.08022	1.61968e-06
1.0936	4.24997e-07
1.10824	-3.48492e-06
1.13649	-2.68422e-06
1.1652	-3.35875e-06
1.19442	-4.46788e-06
1.22342	-4.95037e-06
1.23358	-4.95928e-06
1.25479	-3.13261e-06
1.28746	-1.5411e-06
1.32008	-9.49758e-07
1.35294	-9.1118e-07
1.38609	-1.08906e-06
1.41955	-1.20751e-06
1.44479	-1.3659e-06
1.45223	-1.28592e-06
1.48573	-1.0931e-06
1.5194	-1.09084e-06
1.55321	-1.1995e-06
1.58627	-1.45908e-06
1.62039	-1.79709e-06
1.65408	-2.12892e-06
1.65473	-2.1369e-06
1.68873	-2.61328e-06
1.72308	-3.17569e-06
1.75675	-3.90521e-06
1.79113	-4.75059e-06
1.82501	-5.75447e-06
1.85973	-6.75657e-06
1.89365	-7.33314e-06
1.92768	-8.989e-06
1.96152	-1.53329e-05
2	-2.09007e-05
)

((xy/key/label "line-5-m")
0	0.241484
0.0141029	0.241362
0.0273061	0.241022
0.0395079	0.240479
0.0510071	0.239785
0.0614687	0.239009
0.0713037	0.238157
0.0804016	0.237267
0.0888272	0.236357
0.0964576	0.235464
0.103439	0.234585
0.113867	0.233194
0.120116	0.2323
0.126431	0.231358
0.132729	0.230379
0.139047	0.229358
0.145609	0.228257
0.152513	0.227058
0.159534	0.225793
0.166871	0.224427
0.174382	0.222981
0.182125	0.221443
0.186015	0.220646
0.190067	0.21982
0.198224	0.218106
0.206594	0.216299
0.215184	0.214394
0.224002	0.212391
0.233074	0.21028
0.242195	0.20811
0.251827	0.20577
0.261705	0.203322
0.271893	0.200749
0.282393	0.198051
0.293154	0.195241
0.303904	0.192392
0.315288	0.189333
0.327026	0.18614
0.339031	0.182836
0.351067	0.17949
0.355884	0.178135
0.363701	0.17594
0.376689	0.172259
0.389706	0.168549
0.403454	0.164614
0.417536	0.160571
0.431575	0.156533
0.44634	0.152285
0.461541	0.147915
0.477176	0.143431
0.483129	0.141724
0.493165	0.138873
0.510314	0.134022
0.527529	0.129192
0.545647	0.124155
0.56423	0.119045
0.583316	0.113859
0.603078	0.108565
0.623364	0.103216
0.644164	0.0978297
0.665529	0.0924059
0.68739	0.0869747
0.709865	0.08152
0.732884	0.0760733
0.755978	0.0707524
0.780299	0.0653087
0.805178	0.0599147
0.818972	0.0570114
0.830545	0.0546283
0.856256	0.0494991
0.882515	0.0444639
0.909376	0.0395286
0.936761	0.0347227
0.96483	0.0300364
0.993489	0.0255068
1.02144	0.0213374
1.02189	0.0212703
1.04933	0.0174052
1.07732	0.0137255
1.106	0.010245
1.13516	0.0070494
1.13675	0.0069033
1.16719	0.00409018
1.2001	0.00192303
1.23347	0.000730093
1.26737	0.000255486
1.30186	0.000116413
1.33677	8.57469e-05
1.34682	8.4161e-05
1.3701	7.96829e-05
1.40329	7.76175e-05
1.43631	7.51552e-05
1.47078	7.13419e-05
